Identifier;Type;Address;Assignee;Annote;Author;Booktitle;Chapter;Day;Dayfiled;Edition;Editor;Howpublish;Institution;Journal;Language;Month;Monthfiled;Nationality;Note;Number;Organization;Pages;Publisher;Revision;School;Series;Title;RepType;Volume;Year;Yearfiled;URL;Custom1;Custom2;Custom3;Custom4;Custom5;ISBN
AbrahamsBarkhi2013;7;;;;Alan S. Abrahams and Reza Barkhi;;;;;;;;;Decision Support Systems ;;;;;;2;;904 - 918;;;;;Concept comparison engines: A new frontier of search ;;54;2013;;http://www.sciencedirect.com/science/article/pii/S0167923612002497;;;;;;
AbrahamsBarkhi2013a;7;Amsterdam, The Netherlands, The Netherlands;;;Abrahams, Alan S. and Barkhi, Reza;;;;;;;;;Decis. Support Syst.;;January;;;;2;;904--918;Elsevier Science Publishers B. V.;;;;Concept Comparison Engines;;54;2013;;http://dx.doi.org/10.1016/j.dss.2012.09.014;;;;;;
AbrahaoPoels2009;7;;;;Silvia Abrahão and Geert Poels;;;;;;;;;Journal of Systems and Software ;;;;;;2;;253 - 269;;;;;A family of experiments to evaluate a functional size measurement procedure for Web applications ;;82;2009;;http://www.sciencedirect.com/science/article/pii/S0164121208001337;;;;;;
AdamsSimnett2011;7;;;;Adams, Sarah and Simnett, Roger;;;;;;;;;Australian Accounting Review;;;;;;3;;292--301;Blackwell Publishing Asia;;;;Integrated Reporting: An Opportunity for Australia's Not-for-Profit Sector;;21;2011;;http://dx.doi.org/10.1111/j.1835-2561.2011.00143.x;;;;;;
AdhikariBetancourtAlshameri2014;7;;;;Ajay Adhikari and Luis Betancourt and Faleh Alshameri;;;;;;;;;Journal of International Accounting, Auditing and Taxation ;;;;;;2;;98 - 108;;;;;The SEC's Proposed \IFRS\ Roadmap: An analysis of comment letters using content analysis and textual software ;;23;2014;;http://www.sciencedirect.com/science/article/pii/S1061951814000196;;;;;;
Ahmadpour2011;7;Hershey, PA, USA;;;Ahmadpour, Ahmad;;;;;;;;;Int. J. E-Bus. Res.;;April;;;;2;;11--18;IGI Global;;;;The Improvement of Governance Decision Making Using XBRL;;7;2011;;http://dx.doi.org/10.4018/jebr.2011040102;;;;;;
Allee;10;;;;Verna Allee;;;;;;;;;;;;;;;;;;;;;;The Learning Organization Special Issue on Social Networks and Social Networking Value Creating Networks: Organizational Issues and Challenges;;;;;;;;;;;
AllesDebreceny2012;7;;;;Michael Alles and Roger Debreceny;;;;;;;;;International Journal of Accounting Information Systems ;;;;;XBRL: Research Implications and Future Directions ;2;;83 - 90;;;;;The evolution and future of \XBRL\ research ;;13;2012;;http://www.sciencedirect.com/science/article/pii/S1467089512000218;;;;;;
AllesGray2011;10;;;;M Alles and G L Gray;;;;;;;;;;;;;;;;;;;;;;A relative cost framework for rethinking assurance of XBRL filings. Working paper;;;2011;;;;;;;;
AllesPiechocki2012;7;;;;Michael Alles and Maciej Piechocki;;;;;;;;;International Journal of Accounting Information Systems ;;;;;XBRL: Research Implications and Future Directions ;2;;91 - 108;;;;;Will \XBRL\ improve corporate governance?: A framework for enhancing governance decision making using interactive data☆ ;;13;2012;;http://www.sciencedirect.com/science/article/pii/S1467089510000746;;;;;;
AllesPiechocki;10;;;;Michael Alles and Maciej Piechocki;;;;;;;;;;;;;;;;;;;;;;Framework for Enhancing Governance Decision Making Using Interactive Data;;;;;;;;;;;
AllesKoganVasarhelyi2008;7;;;;Michael G. Alles and Alexander Kogan and Miklos A. Vasarhelyi;;;;;;;;;International Journal of Accounting Information Systems ;;;;;;4;;202 - 215;;;;;Exploiting comparative advantage: A paradigm for value added research in accounting information systems ;;9;2008;;http://www.sciencedirect.com/science/article/pii/S1467089508000493;;;;;;
Almilia2015;7;Inderscience Publishers, Geneva, SWITZERLAND;;;Almilia, Luciana Spica;;;;;;;;;Int. J. Bus. Inf. Syst.;;October;;;;4;;477--495;Inderscience Publishers;;;;Comparing Internet Financial Reporting Practices: Indonesia, Malaysia, Singapore, Japan and Australia;;20;2015;;http://dx.doi.org/10.1504/IJBIS.2015.072743;;;;;;
Almilia2011;7;Inderscience Publishers, Geneva, SWITZERLAND;;;"Almilia, Sasongko Budisusetyo; Luciana Spica";;;;;;;;;Int. J. Bus. Inf. Syst.;;September;;;;4;;380--395;Inderscience Publishers;;;;"Internet Financial Reporting on the Web in Indonesian\&\#58; Not Just Technical Problem";;8;2011;;http://dx.doi.org/10.1504/IJBIS.2011.042419;;;;;;
Alter2015;7;;;;Alter, Steven;;;;;;;;;Information Systems Journal;;;;;;1;;47--60;;;;;The concept of ‘IT artifact’ has outlived its usefulness and should be retired now;;25;2015;;http://dx.doi.org/10.1111/isj.12048;;;;;;
AndresLorcaMartinez2009;7;;;;Andrés, Javier De and Lorca, Pedro and Martínez, Ana B.;;;;;;;;;Journal of the American Society for Information Science and Technology;;;;;;9;;1769--1780;Wiley Subscription Services, Inc., A Wiley Company;;;;Economic and financial factors for the adoption and visibility effects of Web accessibility: The case of European banks;;60;2009;;http://dx.doi.org/10.1002/asi.21103;;;;;;
ApostolouDormineyHassellEtAl2014;7;;;;Barbara Apostolou and Jack W. Dorminey and John M. Hassell and James E. Rebele;;;;;;;;;Journal of Accounting Education ;;;;;Special Issue on \{AIS\} Education ;2;;99 - 112;;;;;A summary and analysis of education research in accounting information systems (AIS) ;;32;2014;;http://www.sciencedirect.com/science/article/pii/S0748575114000232;;;;;;
ApostolouDormineyHassellEtAl2015;7;;;;Barbara Apostolou and Jack W. Dorminey and John M. Hassell and James E. Rebele;;;;;;;;;Journal of Accounting Education ;;;;;;2;;69 - 127;;;;;Accounting education literature review (2013–2014) ;;33;2015;;http://www.sciencedirect.com/science/article/pii/S0748575115000196;;;;;;
ApostolouDormineyHassellEtAl2013;7;;;;Barbara Apostolou and Jack W. Dorminey and John M. Hassell and Stephanie F. Watson;;;;;;;;;Journal of Accounting Education ;;;;;;2;;107 - 161;;;;;Accounting education literature review (2010–2012) ;;31;2013;;http://www.sciencedirect.com/science/article/pii/S0748575113000262;;;;;;
